Obs,Ind,Comp,Pred,Time,N,chunks,frame.size
E,Analytical,CBR16,D,Whole Day,15,None,10min
E,Analytical,CBR16,E,Whole Day,224,None,10min
E,Analytical,CBR16,VJR,Whole Day,43,None,10min
VJR,Analytical,CBR16,D,Whole Day,13,None,10min
VJR,Analytical,CBR16,E,Whole Day,33,None,10min
VJR,Analytical,CBR16,VJR,Whole Day,232,None,10min
D,Analytical,CBR256,D,Dawn1,22,12,10min
D,Analytical,CBR256,E,Dawn1,0,12,10min
D,Analytical,CBR256,VJR,Dawn1,2,12,10min
E,Analytical,CBR256,D,Dawn1,2,12,10min
E,Analytical,CBR256,E,Dawn1,12,12,10min
E,Analytical,CBR256,VJR,Dawn1,10,12,10min
VJR,Analytical,CBR256,D,Dawn1,0,12,10min
VJR,Analytical,CBR256,E,Dawn1,7,12,10min
VJR,Analytical,CBR256,VJR,Dawn1,17,12,10min
D,Analytical,CBR256,D,Dawn2,15,12,10min
D,Analytical,CBR256,E,Dawn2,9,12,10min
D,Analytical,CBR256,VJR,Dawn2,0,12,10min
E,Analytical,CBR256,D,Dawn2,3,12,10min
E,Analytical,CBR256,E,Dawn2,20,12,10min
E,Analytical,CBR256,VJR,Dawn2,1,12,10min
VJR,Analytical,CBR256,D,Dawn2,0,12,10min
VJR,Analytical,CBR256,E,Dawn2,1,12,10min
VJR,Analytical,CBR256,VJR,Dawn2,23,12,10min
D,Analytical,CBR256,D,Dawn3,13,12,10min
D,Analytical,CBR256,E,Dawn3,10,12,10min
D,Analytical,CBR256,VJR,Dawn3,9,12,10min
E,Analytical,CBR256,D,Dawn3,9,12,10min
E,Analytical,CBR256,E,Dawn3,9,12,10min
E,Analytical,CBR256,VJR,Dawn3,0,12,10min
VJR,Analytical,CBR256,D,Dawn3,1,12,10min
VJR,Analytical,CBR256,E,Dawn3,1,12,10min
VJR,Analytical,CBR256,VJR,Dawn3,18,12,10min
D,Analytical,CBR256,D,Dusk1,23,12,10min
D,Analytical,CBR256,E,Dusk1,1,12,10min
D,Analytical,CBR256,VJR,Dusk1,0,12,10min
E,Analytical,CBR256,D,Dusk1,2,12,10min
E,Analytical,CBR256,E,Dusk1,20,12,10min
E,Analytical,CBR256,VJR,Dusk1,2,12,10min
VJR,Analytical,CBR256,D,Dusk1,1,12,10min
VJR,Analytical,CBR256,E,Dusk1,4,12,10min
VJR,Analytical,CBR256,VJR,Dusk1,19,12,10min
D,Analytical,CBR256,D,Dusk2,24,12,10min
D,Analytical,CBR256,E,Dusk2,0,12,10min
D,Analytical,CBR256,VJR,Dusk2,0,12,10min
E,Analytical,CBR256,D,Dusk2,3,12,10min
E,Analytical,CBR256,E,Dusk2,11,12,10min
E,Analytical,CBR256,VJR,Dusk2,10,12,10min
VJR,Analytical,CBR256,D,Dusk2,0,12,10min
VJR,Analytical,CBR256,E,Dusk2,1,12,10min
