compression,file.size,frame.size,accuracy,precision,recall,time,chunks,index.type
CBR16,2.08,2_5min,0.851851852,0.885458133,0.851851852,Dawn1,8,AudioSet
CBR16,2.08,2_5min,0.966981132,0.964190761,0.966761364,Dawn2,8,AudioSet
CBR16,2.08,2_5min,0.93287037,0.932899843,0.93287037,Dusk1,8,AudioSet
CBR16,2.08,2_5min,0.907407407,0.921639532,0.907407407,Dusk2,8,AudioSet
CBR16,2.08,2_5min,0.927272727,0.923780523,0.92996633,Midday1,8,AudioSet
CBR16,2.08,2_5min,0.969907407,0.969962468,0.969907407,Midday2,8,AudioSet
CBR16,2.08,2_5min,0.956018519,0.957102739,0.956018519,Midnight1,8,AudioSet
CBR16,2.08,2_5min,0.921296296,0.936329588,0.921296296,Midnight2,8,AudioSet
CBR256,33.35,2_5min,0.918981481,0.925722326,0.918981481,Dawn1,8,AudioSet
CBR256,33.35,2_5min,0.95754717,0.954090345,0.957054924,Dawn2,8,AudioSet
CBR256,33.35,2_5min,0.893518519,0.898442524,0.893518519,Dusk1,8,AudioSet
CBR256,33.35,2_5min,0.888888889,0.906739927,0.888888889,Dusk2,8,AudioSet
CBR256,33.35,2_5min,0.920454545,0.918590313,0.926052189,Midday1,8,AudioSet
CBR256,33.35,2_5min,0.974537037,0.975185185,0.974537037,Midday2,8,AudioSet
CBR256,33.35,2_5min,0.990740741,0.990990991,0.990740741,Midnight1,8,AudioSet
CBR256,33.35,2_5min,0.993055556,0.993103448,0.993055556,Midnight2,8,AudioSet
CBR32,4.16,2_5min,0.912037037,0.92379161,0.912037037,Dawn1,8,AudioSet
CBR32,4.16,2_5min,0.939393939,0.934377968,0.944386894,Dawn2,8,AudioSet
CBR32,4.16,2_5min,0.914351852,0.91568349,0.914351852,Dusk1,8,AudioSet
CBR32,4.16,2_5min,0.888888889,0.916666667,0.888888889,Dusk2,8,AudioSet
CBR32,4.16,2_5min,0.904545455,0.899973073,0.903998316,Midday1,8,AudioSet
CBR32,4.16,2_5min,0.935185185,0.938617251,0.935185185,Midday2,8,AudioSet
CBR32,4.16,2_5min,0.953703704,0.958590535,0.953703704,Midnight1,8,AudioSet
CBR32,4.16,2_5min,0.951388889,0.957575758,0.951388889,Midnight2,8,AudioSet
CBR320,41.6,2_5min,0.918981481,0.926939513,0.918981481,Dawn1,8,AudioSet
CBR320,41.6,2_5min,0.95990566,0.956619447,0.959832702,Dawn2,8,AudioSet
CBR320,41.6,2_5min,0.895833333,0.901426723,0.895833333,Dusk1,8,AudioSet
CBR320,41.6,2_5min,0.884259259,0.899520697,0.884259259,Dusk2,8,AudioSet
CBR320,41.6,2_5min,0.922727273,0.921540577,0.928829966,Midday1,8,AudioSet
CBR320,41.6,2_5min,0.972222222,0.973015947,0.972222222,Midday2,8,AudioSet
CBR320,41.6,2_5min,0.990740741,0.990990991,0.990740741,Midnight1,8,AudioSet
CBR320,41.6,2_5min,0.997685185,0.997701149,0.997685185,Midnight2,8,AudioSet
CBR64,8.33,2_5min,0.888888889,0.908795602,0.888888889,Dawn1,8,AudioSet
CBR64,8.33,2_5min,0.910377358,0.910047285,0.920233586,Dawn2,8,AudioSet
CBR64,8.33,2_5min,0.914351852,0.914233941,0.914351852,Dusk1,8,AudioSet
CBR64,8.33,2_5min,0.909722222,0.928961749,0.909722222,Dusk2,8,AudioSet
CBR64,8.33,2_5min,0.886363636,0.885684117,0.888973064,Midday1,8,AudioSet
CBR64,8.33,2_5min,0.930555556,0.935702055,0.930555556,Midday2,8,AudioSet
CBR64,8.33,2_5min,0.949074074,0.952604167,0.949074074,Midnight1,8,AudioSet
CBR64,8.33,2_5min,0.902777778,0.924731183,0.902777778,Midnight2,8,AudioSet
CBR8,1.04,2_5min,0.916666667,0.92130176,0.916666667,Dawn1,8,AudioSet
CBR8,1.04,2_5min,0.966981132,0.9624677,0.963036616,Dawn2,8,AudioSet
CBR8,1.04,2_5min,0.763888889,0.814616178,0.763888889,Dusk1,8,AudioSet
CBR8,1.04,2_5min,0.868055556,0.877430115,0.868055556,Dusk2,8,AudioSet
CBR8,1.04,2_5min,0.854545455,0.850216723,0.849452862,Midday1,8,AudioSet
CBR8,1.04,2_5min,0.902777778,0.909238903,0.902777778,Midday2,8,AudioSet
CBR8,1.04,2_5min,0.875,0.876595745,0.875,Midnight1,8,AudioSet
CBR8,1.04,2_5min,0.840277778,0.855943513,0.840277778,Midnight2,8,AudioSet
RAW,100,2_5min,0.916666667,0.923947265,0.916666667,Dawn1,8,AudioSet
RAW,100,2_5min,0.95990566,0.956619447,0.959832702,Dawn2,8,AudioSet
RAW,100,2_5min,0.900462963,0.905385128,0.900462963,Dusk1,8,AudioSet
RAW,100,2_5min,0.888888889,0.905345571,0.888888889,Dusk2,8,AudioSet
RAW,100,2_5min,0.918181818,0.916768302,0.924621212,Midday1,8,AudioSet
RAW,100,2_5min,0.974537037,0.975185185,0.974537037,Midday2,8,AudioSet
RAW,100,2_5min,0.988425926,0.988814318,0.988425926,Midnight1,8,AudioSet
RAW,100,2_5min,0.993055556,0.993103448,0.993055556,Midnight2,8,AudioSet
VBR0,22.56,2_5min,0.918981481,0.925722326,0.918981481,Dawn1,8,AudioSet
VBR0,22.56,2_5min,0.950471698,0.946578845,0.951373106,Dawn2,8,AudioSet
VBR0,22.56,2_5min,0.893518519,0.896720236,0.893518519,Dusk1,8,AudioSet
