compression,file.size,frame.size,accuracy,precision,recall,TOD,chunks,index.type
CBR16,2.08,20min,0.951388889,0.951537536,0.951690272,840,None,AudioSet
CBR16,2.08,5min,0.931976744,0.932042432,0.931930078,0840_sample3,None,AudioSet
CBR16,2.08,10min,0.821596244,0.844214817,0.823783253,Quarter_Day_Dawn,4,Analytical_Indices
CBR16,2.08,10min,0.666666667,0.68533532,0.666666667,Quarter_Day_Dusk,4,Analytical_Indices
CBR16,2.08,10min,0.887850467,0.891081981,0.890904661,Quarter_Day_Midday,4,Analytical_Indices
CBR16,2.08,10min,0.814814815,0.820302334,0.814814815,Quarter_Day_Midnight,4,Analytical_Indices
CBR16,2.08,2_5min,0.795321637,0.811125988,0.798586767,Quarter_Day_Dawn,4,Analytical_Indices
CBR16,2.08,2_5min,0.721064815,0.745194004,0.721064815,Quarter_Day_Dusk,4,Analytical_Indices
CBR16,2.08,2_5min,0.877293578,0.880663732,0.880555556,Quarter_Day_Midday,4,Analytical_Indices
CBR16,2.08,2_5min,0.855324074,0.860494044,0.855324074,Quarter_Day_Midnight,4,Analytical_Indices
